symbol,name,weight
ASML.AS,ASML Holding N.V.,6.8
SAP.DE,SAP SE,5.9
OR.PA,L'Oréal S.A.,5.2
MC.PA,LVMH Moët Hennessy Louis Vuitton SE,5.0
SAN.PA,Sanofi,4.5
SIE.DE,Siemens Aktiengesellschaft,4.2
AIR.PA,Airbus SE,3.8
TTE.PA,TotalEnergies SE,3.6
ALV.DE,Allianz SE,3.4
SU.PA,Schneider Electric S.E.,3.2
INGA.AS,ING Groep N.V.,3.0
BNP.PA,BNP Paribas SA,2.8
DTE.DE,Deutsche Telekom AG,2.6
ABI.BR,Anheuser-Busch InBev SA/NV,2.5
IBE.MC,Iberdrola S.A.,2.3
ENEL.MI,Enel SpA,2.2
ITX.MC,Industria de Diseño Textil S.A.,2.0
ADYEN.AS,Adyen N.V.,1.9
MUV2.DE,Munich Re,1.8
DG.PA,Vinci SA,1.7
