symbol,name,weight
0700.HK,Tencent Holdings Limited,12.5
9988.HK,Alibaba Group Holding Limited,10.8
0941.HK,China Mobile Limited,6.2
1299.HK,AIA Group Limited,5.9
0939.HK,China Construction Bank Corporation,5.5
1398.HK,Industrial and Commercial Bank of China Limited,5.2
0388.HK,Hong Kong Exchanges and Clearing Limited,4.8
2318.HK,Ping An Insurance (Group) Company of China Ltd.,4.5
3690.HK,Meituan,4.2
0005.HK,HSBC Holdings plc,3.9
1810.HK,Xiaomi Corporation,3.6
2020.HK,ANTA Sports Products Limited,3.3
1113.HK,CK Asset Holdings Limited,3.0
2382.HK,Sunny Optical Technology (Group) Company Limited,2.8
0016.HK,Sun Hung Kai Properties Limited,2.6
2269.HK,WuXi Biologics (Cayman) Inc.,2.4
0011.HK,Hang Seng Bank Limited,2.2
1109.HK,China Resources Land Limited,2.0
0688.HK,China Overseas Land & Investment Limited,1.9
0267.HK,CITIC Limited,1.8
