ticker_symbol,weight,date_added
AAPL,12.1,2023-01-01
MSFT,11.3,2023-01-01
GOOGL,6.8,2023-01-01
AMZN,5.9,2023-01-01
NVDA,5.2,2023-01-01
META,4.1,2023-01-01
TSLA,3.6,2023-01-01
AVGO,2.9,2023-01-01
COST,2.4,2023-01-01
NFLX,2.1,2023-01-01
ADBE,1.9,2023-01-01
PEP,1.8,2023-01-01
CSCO,1.6,2023-01-01
CMCSA,1.5,2023-01-01
INTC,1.4,2023-01-01
TMUS,1.3,2023-01-01
AMD,1.2,2023-01-01
QCOM,1.1,2023-01-01
INTU,1.0,2023-01-01
TXN,0.9,2023-01-01
AMGN,0.9,2023-01-01
ISRG,0.8,2023-01-01
AMAT,0.8,2023-01-01
HON,0.7,2023-01-01
SBUX,0.7,2023-01-01
GILD,0.6,2023-01-01
BKNG,0.6,2023-01-01
ADI,0.6,2023-01-01
VRTX,0.5,2023-01-01
ADP,0.5,2023-01-01
