symbol,name,weight
7203.T,Toyota Motor Corporation,5.2
6758.T,Sony Group Corporation,4.8
9984.T,SoftBank Group Corp.,4.5
6861.T,Keyence Corporation,4.2
8306.T,Mitsubishi UFJ Financial Group Inc.,3.8
9433.T,KDDI Corporation,3.5
6098.T,Recruit Holdings Co. Ltd.,3.2
4063.T,Shin-Etsu Chemical Co. Ltd.,3.0
6902.T,Denso Corporation,2.8
4502.T,Takeda Pharmaceutical Company Limited,2.6
4568.T,Daiichi Sankyo Company Limited,2.4
8316.T,Sumitomo Mitsui Financial Group Inc.,2.2
9432.T,Nippon Telegraph and Telephone Corporation,2.0
8035.T,Tokyo Electron Limited,1.9
7974.T,Nintendo Co. Ltd.,1.8
4661.T,Oriental Land Co. Ltd.,1.7
9437.T,NTT Data Corporation,1.6
6367.T,Daikin Industries Ltd.,1.5
8001.T,ITOCHU Corporation,1.4
8058.T,Mitsubishi Corporation,1.3
