symbol,name,weight
SIRI,Sirius XM Holdings Inc.,0.8
SWKS,Skyworks Solutions Inc.,0.7
NXPI,NXP Semiconductors N.V.,0.7
MKSI,MKS Instruments Inc.,0.6
OLED,Universal Display Corporation,0.6
LITE,Lumentum Holdings Inc.,0.6
SMCI,Super Micro Computer Inc.,0.5
UFPI,UFP Industries Inc.,0.5
CVLT,Commvault Systems Inc.,0.5
BLD,TopBuild Corp.,0.5
CASY,Caseys General Stores Inc.,0.5
CWST,Casella Waste Systems Inc.,0.5
GTLS,Chart Industries Inc.,0.4
ESNT,Essent Group Ltd.,0.4
GNRC,Generac Holdings Inc.,0.4
LCII,LCI Industries,0.4
SHAK,Shake Shack Inc.,0.4
SLAB,Silicon Laboratories Inc.,0.4
PCTY,Paylocity Holding Corporation,0.4
RBC,RBC Bearings Incorporated,0.4
