ticker_symbol,weight,date_added
AAPL,7.0,2023-01-01
MSFT,6.5,2023-01-01
GOOGL,3.8,2023-01-01
AMZN,3.2,2023-01-01
NVDA,2.9,2023-01-01
META,2.1,2023-01-01
TSLA,1.8,2023-01-01
BRK.B,1.7,2023-01-01
V,1.1,2023-01-01
UNH,1.1,2023-01-01
JNJ,1.0,2023-01-01
WMT,0.9,2023-01-01
XOM,0.9,2023-01-01
JPM,0.9,2023-01-01
LLY,0.8,2023-01-01
PG,0.8,2023-01-01
MA,0.8,2023-01-01
AVGO,0.7,2023-01-01
HD,0.7,2023-01-01
CVX,0.7,2023-01-01
MRK,0.6,2023-01-01
ABBV,0.6,2023-01-01
COST,0.6,2023-01-01
PEP,0.6,2023-01-01
KO,0.6,2023-01-01
ADBE,0.5,2023-01-01
NFLX,0.5,2023-01-01
CRM,0.5,2023-01-01
BAC,0.5,2023-01-01
TMO,0.5,2023-01-01
